model,num_devices,mbs,time_per_batch,tput
bert,64,1,7895,0.518809373
bert,128,1,5112,0.801251956
bert,256,1,3909,1.047838322
bert,512,1,4759,0.860685018
bert,1024,1,Inf,0
llama2,64,1,999168,0.004099411
llama2,128,1,558682,0.007331541
llama2,256,1,518291,0.007902896
llama2,512,1,335004,0.01222672
llama2,1024,1,Inf,0
llama3,64,1,Inf,0
llama3,128,1,5987176,0.000684129
llama3,256,1,3427354,0.001195091
llama3,512,1,2140221,0.001913821
llama3,1024,1,Inf,0
gpt3,64,1,Inf,0
gpt3,128,1,12429437,0.00032954
gpt3,256,1,5413182,0.000756671
gpt3,512,1,3595174,0.001139305
gpt3,1024,1,Inf,0
mixtral,64,1,4562626,0.000897729
mixtral,128,1,2572896,0.00159198
mixtral,256,1,1603500,0.002554412
mixtral,512,1,1231153,0.003326963
mixtral,1024,1,Inf,0
bert,256,2,4082,1.003429691
bert,256,4,3297,1.242341523
bert,256,8,2198,1.863512284
llama2,256,2,360163,0.011372629
llama2,256,4,277432,0.014763978
llama3,256,2,3169144,0.001292463
